PLANTS_Species_Code,Genus_Species,BT_coef,FOFEM BarkThicknessName,FOFEM_BT_Code,BT_Subsitution
QUNI,Quercus nigra,0.036,Quercus nigra -- Water oak,15,
QUPH,Quercus phellos,0.041,Quercus phellos -- Willow oak,20,
QURU,Quercus rubra,0.042,Quercus rubra -- Northern red oak,21,
QUST,Quercus stellata,0.044,Quercus stellata -- Post oak,23,
QUVE,Quercus velutina,0.045,Quercus velutina -- Black oak,24,
QUWI2,Quercus wislizeni,0.034,Quercus wislizenii -- Interior live oak,13,
RHCO,Rhus copallinum,,,,No code
ROPS,Robinia pseudoacacia,0.049,Robinia pseudoacacia -- Black locust,28,
SAAL5,Sassafras albidum,0.035,Sassafras albidum -- Sassafras,14,
SALIX,Salix ,0.041,Salix species -- Willows,20,
SASC,Salix scouleriana,0.041,Salix species -- Willows,20,Genus for Species
SASSA,Sassafras ,0.035,Sassafras albidum -- Sassafras,14,Spp for Genus
SEGI2,Sequoiadendron giganteum,0.081,Sequoia gigantea -- Giant sequoia,39,
SESE3,Sequoia sempervirens,0.081,Sequoia sempervirens -- Redwood,39,
TABR2,Taxus brevifolia,0.025,Taxus brevifolia -- Pacific yew,4,
THPL,Thuja plicata,0.035,Thuja plicata -- Western redcedar,14,
TIAM,Tilia americana,0.038,Tilia americana -- American basswod,17,
TOCA,Torreya californica,,,,No code
TSCA,Tsuga canadensis,0.039,Tsuga canadensis -- Eastern hemlock,18,
TSHE,Tsuga heterophylla,0.04,Tsuga heterophylla -- Western hemlock,19,
TSME,Tsuga mertensiana,0.04,Tsuga mertensiana -- Mountain hemlock,19,
ULAL,Ulmus alata,0.031,Ulmus alata -- Winged elm,10,
ULAM,Ulmus americana,0.031,Ulmus americana -- American elm,10,
ULRU,Ulmus rubra,0.032,Ulmus rubra -- Slippery elm,11,
VAAR,Vaccinium arboreum,,,,No code
VIRU,Viburnum rufidulum,,,,No code
2TREE,Unknown species,,,,No code
